sample_id,audio_path,status,boundary_rmse_sec,error,mfcc_summary_path,leakage_json_path,voiced_json_path,phonetic_json_path
2300-131720-0039,audio/2300-131720-0039.wav,completed,0.22563042992710652,,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/mfcc_manual/2300-131720-0039_summary.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/leakage_snr/2300-131720-0039_window_metrics.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/voiced_unvoiced/2300-131720-0039_voiced_unvoiced.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/phonetic_mapping/2300-131720-0039_phonetic_mapping.json
3575-170457-0025,audio/3575-170457-0025.wav,completed,0.030248966924508403,,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/mfcc_manual/3575-170457-0025_summary.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/leakage_snr/3575-170457-0025_window_metrics.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/voiced_unvoiced/3575-170457-0025_voiced_unvoiced.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/phonetic_mapping/3575-170457-0025_phonetic_mapping.json
4992-41797-0017,audio/4992-41797-0017.wav,completed,0.25889754957602557,,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/mfcc_manual/4992-41797-0017_summary.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/leakage_snr/4992-41797-0017_window_metrics.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/voiced_unvoiced/4992-41797-0017_voiced_unvoiced.json,/home/b23cs1037/DN/nisarg/speech/Speech-Understanding-Assignment-1/q1/outputs/phonetic_mapping/4992-41797-0017_phonetic_mapping.json
