model,overall_wer,male_wer,female_wer,gender_gap
frozen_pretrained,0.51953125,0.4390625,0.6000000000000001,0.16093750000000007
adapter_ctc,0.51953125,0.4390625,0.6000000000000001,0.16093750000000007
adapter_fair,0.51953125,0.4390625,0.6000000000000001,0.16093750000000007
